,yhat
0,0.74864715
1,0.7486534
2,0.7486534
3,0.7487077
4,0.7487136
5,0.7487077
6,0.7487018
7,0.7487077
8,0.7487018
9,0.7487077
10,0.7487018
11,0.7487077
12,0.7487077
13,0.7487077
14,0.74864095
15,0.74864715
16,0.74864715
17,0.74864715
18,0.74864095
19,0.74864715
20,0.7486534
21,0.7486534
22,0.7486534
23,0.7486534
24,0.74864715
25,0.7486534
26,0.7486534
27,0.7487136
28,0.7487136
29,0.7487136
30,0.7487018
31,0.7487077
32,0.7487136
33,0.7477279
34,0.74761164
35,0.7475521
36,0.74753207
37,0.7475018
38,0.74753207
39,0.747522
40,0.747522
41,0.7475018
42,0.7475018
43,0.7475018
44,0.7475018
45,0.7474815
46,0.74749166
47,0.7474815
48,0.74749166
49,0.74749166
50,0.74749166
51,0.7474815
52,0.7474815
53,0.7474815
54,0.7474815
55,0.74749166
56,0.7474815
57,0.7474815
58,0.7474815
59,0.74747133
60,0.74746114
61,0.7474815
62,0.7473472
63,0.7473577
64,0.7473577
65,0.7473681
66,0.7473681
67,0.7473681
68,0.7473577
69,0.7473681
70,0.7473577
71,0.74746114
72,0.74746114
73,0.74746114
74,0.74747133
75,0.74746114
76,0.7474509
77,0.74746114
78,0.74746114
79,0.74746114
80,0.74871945
81,0.7487253
82,0.7487253
83,0.74871945
84,0.7487253
85,0.74871945
86,0.7487253
87,0.7487253
88,0.7487253
89,0.74871945
90,0.748731
91,0.74871945
92,0.7487253
93,0.7487253
94,0.7487253
95,0.7487136
96,0.7487136
97,0.7487018
98,0.7487136
99,0.7487077
100,0.7487136
101,0.7487136
102,0.7486347
103,0.74864095
104,0.7486534
105,0.7486534
106,0.7486534
107,0.74864715
108,0.7486534
109,0.74865955
110,0.7486534
111,0.7487136
112,0.7487136
113,0.7487136
114,0.7487136
115,0.7487136
116,0.7487077
117,0.7487136
118,0.7487136
119,0.7487136
120,0.7487136
121,0.7487136
122,0.7487136
123,0.7487077
124,0.7487136
125,0.74871945
126,0.7487136
127,0.7487136
128,0.7487077
129,0.7487077
130,0.7487077
131,0.7487018
132,0.7487077
133,0.7487077
134,0.7487077
135,0.7487077
136,0.74864095
137,0.74864715
138,0.74864095
139,0.74864715
140,0.74864715
141,0.74864715
142,0.74864715
143,0.74864715
144,0.7486534
145,0.7486534
146,0.7486534
147,0.7486534
148,0.7486534
149,0.7486534
150,0.7486534
151,0.7486534
152,0.7487077
153,0.7487136
154,0.7487077
155,0.7487136
156,0.7487077
157,0.7487136
158,0.7487136
159,0.7487136
160,0.74871945
161,0.7487136
162,0.7487077
163,0.7487136
164,0.7487077
165,0.7487136
166,0.7487136
167,0.7487136
168,0.7487136
169,0.7487136
170,0.7487077
171,0.7487136
172,0.7487077
173,0.7487136
174,0.7487018
175,0.7487136
176,0.7487077
177,0.7487136
178,0.7487136
179,0.7487077
180,0.7487136
181,0.7487136
182,0.7487077
183,0.7487136
184,0.7487136
185,0.74864715
186,0.7486534
187,0.74864715
188,0.7486534
189,0.74864715
190,0.7486534
191,0.74864715
192,0.7486534
193,0.7486534
194,0.7487136
195,0.74871945
196,0.7487136
197,0.7487136
198,0.7487136
199,0.7487077
200,0.7487077
201,0.7487136
202,0.7487136
203,0.7487136
204,0.7487136
205,0.7487136
206,0.7487136
207,0.7487136
208,0.7487136
209,0.7487077
210,0.7487136
211,0.7487136
212,0.7487136
213,0.7487136
214,0.7487136
215,0.7487136
216,0.7487136
217,0.7487077
218,0.7478771
219,0.74765086
220,0.74757206
221,0.7475119
222,0.7475018
223,0.7475119
224,0.7475119
225,0.74749166
226,0.7473786
227,0.7473681
228,0.7473786
229,0.7473786
230,0.74738896
231,0.7473681
232,0.7473786
233,0.7473786
234,0.7473681
235,0.74746114
236,0.74747133
237,0.74747133
238,0.74747133
239,0.74746114
240,0.7474509
241,0.74746114
242,0.74747133
243,0.7474406
244,0.74746114
245,0.74746114
246,0.74747133
247,0.7474509
248,0.74746114
249,0.7474509
250,0.74746114
251,0.7474509
252,0.7474509
253,0.7474406
254,0.7474201
255,0.7474201
256,0.7474201
257,0.7474097
258,0.7474201
259,0.7474097
260,0.7474201
261,0.7474303
262,0.7474303
263,0.74738896
264,0.7486899
265,0.74866563
266,0.74865955
267,0.74859643
268,0.74859643
269,0.748603
270,0.748603
271,0.748603
272,0.748603
273,0.748603
274,0.748603
275,0.74859643
276,0.74858356
277,0.7485371
278,0.74855053
279,0.7485572
280,0.7485639
281,0.748577
282,0.74855053
283,0.7486534
284,0.7487136
285,0.7487077
286,0.7487136
287,0.7487136
288,0.7487136
289,0.7487136
290,0.7487136
291,0.7487136
292,0.7487136
293,0.7487077
294,0.7487136
295,0.7487136
296,0.7487136
297,0.7487136
298,0.7487136
299,0.7487136
300,0.74871945
301,0.7487136
302,0.7487077
303,0.7487136
304,0.7487077
305,0.7487136
306,0.7487077
307,0.7487136
308,0.7487077
309,0.7487077
310,0.7487136
311,0.7487018
312,0.74769914
313,0.7475521
314,0.74738896
315,0.7473681
316,0.7473786
317,0.74738896
318,0.7473786
319,0.7473681
320,0.7473681
321,0.7473681
322,0.7473577
323,0.74746114
324,0.74746114
325,0.7474509
326,0.74746114
327,0.74746114
328,0.7474509
329,0.7474509
330,0.7474509
331,0.7474509
332,0.7474406
333,0.7474509
334,0.7474509
335,0.7474509
336,0.7474509
337,0.7474406
338,0.7474406
339,0.7474406
340,0.7474303
341,0.7474406
342,0.7474406
343,0.7474406
344,0.7474303
345,0.7474406
346,0.7474406
347,0.7474303
348,0.7474303
349,0.7474406
350,0.7474303
351,0.7474406
352,0.7474201
353,0.7474201
354,0.7472944
355,0.74730504
356,0.74730504
357,0.7473262
358,0.74731565
359,0.7473262
360,0.74730504
361,0.7473262
362,0.74730504
363,0.7474303
364,0.7474201
365,0.7474201
366,0.7474201
367,0.7474303
368,0.7465317
369,0.74649525
370,0.74871945
371,0.7487253
372,0.7487253
373,0.7487253
374,0.7487253
375,0.7487253
376,0.7487253
377,0.7487253
378,0.7487253
379,0.7487253
380,0.74871945
381,0.7487253
382,0.74871945
383,0.7487018
384,0.7487077
385,0.7487136
386,0.7487253
387,0.7487136
388,0.7487077
389,0.7487018
390,0.74864095
391,0.74864715
392,0.74864715
393,0.74864715
394,0.74864715
395,0.74864715
396,0.74864095
397,0.74864715
398,0.74864095
399,0.74864715
400,0.74864095
401,0.74864715
402,0.7486534
403,0.7486534
404,0.74864715
405,0.7487077
406,0.7487136
407,0.7487077
408,0.7487136
409,0.7487018
410,0.7487018
411,0.7487077
412,0.7487136
413,0.7487077
414,0.7487136
415,0.7487136
416,0.7487077
417,0.7487136
418,0.7487077
419,0.7487136
420,0.7487136
421,0.74871945
422,0.7487136
423,0.7487136
424,0.7487136
425,0.7487077
426,0.7487136
427,0.7487136
428,0.7487077
429,0.7487077
430,0.7487077
431,0.74869585
432,0.74869585
433,0.7487018
434,0.74869585
435,0.7487136
436,0.7487136
437,0.74864715
438,0.74864095
439,0.7486221
440,0.74864095
441,0.74864095
442,0.7486347
443,0.7486534
444,0.74864095
445,0.7486534
446,0.7486534
447,0.74774694
448,0.7474201
449,0.747241
450,0.74631023
451,0.7462977
452,0.7462977
453,0.7461206
454,0.7461333
455,0.7459527
456,0.7459787
457,0.7459527
458,0.7459657
459,0.7473367
460,0.74730504
461,0.74730504
462,0.74739933
463,0.7473577
464,0.7473681
465,0.7474406
466,0.7474303
467,0.7474303
468,0.7474201
469,0.7474201
470,0.7474201
471,0.7474201
472,0.7474303
473,0.74727315
474,0.74864715
475,0.74865955
476,0.7486534
477,0.74865955
478,0.74865955
479,0.74865955
480,0.74864715
481,0.7486284
