,yhat
0,-7.097689e-05
1,-7.1113354e-05
2,-7.1113354e-05
3,-7.2339935e-05
4,-7.247614e-05
5,-7.2339935e-05
6,-7.220393e-05
7,-7.2339935e-05
8,-7.220393e-05
9,-7.2339935e-05
10,-7.220393e-05
11,-7.2339935e-05
12,-7.2339935e-05
13,-7.2339935e-05
14,-7.084055e-05
15,-7.097689e-05
16,-7.097689e-05
17,-7.097689e-05
18,-7.084055e-05
19,-7.097689e-05
20,-7.1113354e-05
21,-7.1113354e-05
22,-7.1113354e-05
23,-7.1113354e-05
24,-7.097689e-05
25,-7.1113354e-05
26,-7.1113354e-05
27,-7.247614e-05
28,-7.247614e-05
29,-7.247614e-05
30,-7.220393e-05
31,-7.2339935e-05
32,-7.247614e-05
33,-5.4948898e-05
34,-5.3266114e-05
35,-5.2422976e-05
36,-5.2141615e-05
37,-5.1719187e-05
38,-5.2141615e-05
39,-5.2000854e-05
40,-5.2000854e-05
41,-5.1719187e-05
42,-5.1719187e-05
43,-5.1719187e-05
44,-5.1719187e-05
45,-5.1437477e-05
46,-5.1578558e-05
47,-5.1437477e-05
48,-5.1578558e-05
49,-5.1578558e-05
50,-5.1578558e-05
51,-5.1437477e-05
52,-5.1437477e-05
53,-5.1437477e-05
54,-5.1437477e-05
55,-5.1578558e-05
56,-5.1437477e-05
57,-5.1437477e-05
58,-5.1437477e-05
59,-5.1296745e-05
60,-5.1155635e-05
61,-5.1437477e-05
62,-4.960296e-05
63,-4.9744245e-05
64,-4.9744245e-05
65,-4.9885486e-05
66,-4.9885486e-05
67,-4.9885486e-05
68,-4.9744245e-05
69,-4.9885486e-05
70,-4.9744245e-05
71,-5.1155635e-05
72,-5.1155635e-05
73,-5.1155635e-05
74,-5.1296745e-05
75,-5.1155635e-05
76,-5.101467e-05
77,-5.1155635e-05
78,-5.1155635e-05
79,-5.1155635e-05
80,-7.261217e-05
81,-7.274828e-05
82,-7.274828e-05
83,-7.261217e-05
84,-7.274828e-05
85,-7.261217e-05
86,-7.274828e-05
87,-7.274828e-05
88,-7.274828e-05
89,-7.261217e-05
90,-7.288432e-05
91,-7.261217e-05
92,-7.274828e-05
93,-7.274828e-05
94,-7.274828e-05
95,-7.247614e-05
96,-7.247614e-05
97,-7.220393e-05
98,-7.247614e-05
99,-7.2339935e-05
100,-7.247614e-05
101,-7.247614e-05
102,-7.070417e-05
103,-7.084055e-05
104,-7.1113354e-05
105,-7.1113354e-05
106,-7.1113354e-05
107,-7.097689e-05
108,-7.1113354e-05
109,-7.124978e-05
110,-7.1113354e-05
111,-7.247614e-05
112,-7.247614e-05
113,-7.247614e-05
114,-7.247614e-05
115,-7.247614e-05
116,-7.2339935e-05
117,-7.247614e-05
118,-7.247614e-05
119,-7.247614e-05
120,-7.247614e-05
121,-7.247614e-05
122,-7.247614e-05
123,-7.2339935e-05
124,-7.247614e-05
125,-7.261217e-05
126,-7.247614e-05
127,-7.247614e-05
128,-7.2339935e-05
129,-7.2339935e-05
130,-7.2339935e-05
131,-7.220393e-05
132,-7.2339935e-05
133,-7.2339935e-05
134,-7.2339935e-05
135,-7.2339935e-05
136,-7.084055e-05
137,-7.097689e-05
138,-7.084055e-05
139,-7.097689e-05
140,-7.097689e-05
141,-7.097689e-05
142,-7.097689e-05
143,-7.097689e-05
144,-7.1113354e-05
145,-7.1113354e-05
146,-7.1113354e-05
147,-7.1113354e-05
148,-7.1113354e-05
149,-7.1113354e-05
150,-7.1113354e-05
151,-7.1113354e-05
152,-7.2339935e-05
153,-7.247614e-05
154,-7.2339935e-05
155,-7.247614e-05
156,-7.2339935e-05
157,-7.247614e-05
158,-7.247614e-05
159,-7.247614e-05
160,-7.261217e-05
161,-7.247614e-05
162,-7.2339935e-05
163,-7.247614e-05
164,-7.2339935e-05
165,-7.247614e-05
166,-7.247614e-05
167,-7.247614e-05
168,-7.247614e-05
169,-7.247614e-05
170,-7.2339935e-05
171,-7.247614e-05
172,-7.2339935e-05
173,-7.247614e-05
174,-7.220393e-05
175,-7.247614e-05
176,-7.2339935e-05
177,-7.247614e-05
178,-7.247614e-05
179,-7.2339935e-05
180,-7.247614e-05
181,-7.247614e-05
182,-7.2339935e-05
183,-7.247614e-05
184,-7.247614e-05
185,-7.097689e-05
186,-7.1113354e-05
187,-7.097689e-05
188,-7.1113354e-05
189,-7.097689e-05
190,-7.1113354e-05
191,-7.097689e-05
192,-7.1113354e-05
193,-7.1113354e-05
194,-7.247614e-05
195,-7.261217e-05
196,-7.247614e-05
197,-7.247614e-05
198,-7.247614e-05
199,-7.2339935e-05
200,-7.2339935e-05
201,-7.247614e-05
202,-7.247614e-05
203,-7.247614e-05
204,-7.247614e-05
205,-7.247614e-05
206,-7.247614e-05
207,-7.247614e-05
208,-7.247614e-05
209,-7.2339935e-05
210,-7.247614e-05
211,-7.247614e-05
212,-7.247614e-05
213,-7.247614e-05
214,-7.247614e-05
215,-7.247614e-05
216,-7.247614e-05
217,-7.2339935e-05
218,-5.718506e-05
219,-5.382779e-05
220,-5.270406e-05
221,-5.186005e-05
222,-5.1719187e-05
223,-5.186005e-05
224,-5.186005e-05
225,-5.1578558e-05
226,-5.0026858e-05
227,-4.9885486e-05
228,-5.0026858e-05
229,-5.0026858e-05
230,-5.0167982e-05
231,-4.9885486e-05
232,-5.0026858e-05
233,-5.0026858e-05
234,-4.9885486e-05
235,-5.1155635e-05
236,-5.1296745e-05
237,-5.1296745e-05
238,-5.1296745e-05
239,-5.1155635e-05
240,-5.101467e-05
241,-5.1155635e-05
242,-5.1296745e-05
243,-5.0873678e-05
244,-5.1155635e-05
245,-5.1155635e-05
246,-5.1296745e-05
247,-5.101467e-05
248,-5.1155635e-05
249,-5.101467e-05
250,-5.1155635e-05
251,-5.101467e-05
252,-5.101467e-05
253,-5.0873678e-05
254,-5.059159e-05
255,-5.059159e-05
256,-5.059159e-05
257,-5.045045e-05
258,-5.059159e-05
259,-5.045045e-05
260,-5.059159e-05
261,-5.07327e-05
262,-5.07327e-05
263,-5.0167982e-05
264,-7.193151e-05
265,-7.138632e-05
266,-7.124978e-05
267,-6.988482e-05
268,-6.988482e-05
269,-7.0021335e-05
270,-7.0021335e-05
271,-7.0021335e-05
272,-7.0021335e-05
273,-7.0021335e-05
274,-7.0021335e-05
275,-6.988482e-05
276,-6.9611466e-05
277,-6.8653615e-05
278,-6.892732e-05
279,-6.906401e-05
280,-6.920109e-05
281,-6.94745e-05
282,-6.892732e-05
283,-7.1113354e-05
284,-7.247614e-05
285,-7.2339935e-05
286,-7.247614e-05
287,-7.247614e-05
288,-7.247614e-05
289,-7.247614e-05
290,-7.247614e-05
291,-7.247614e-05
292,-7.247614e-05
293,-7.2339935e-05
294,-7.247614e-05
295,-7.247614e-05
296,-7.247614e-05
297,-7.247614e-05
298,-7.247614e-05
299,-7.247614e-05
300,-7.261217e-05
301,-7.247614e-05
302,-7.2339935e-05
303,-7.247614e-05
304,-7.2339935e-05
305,-7.247614e-05
306,-7.2339935e-05
307,-7.247614e-05
308,-7.2339935e-05
