,yhat
0,0.24549492
1,0.24540493
2,0.24540493
3,0.24458256
4,0.24448979
5,0.24458256
6,0.24467506
7,0.24458256
8,0.24467506
9,0.24458256
10,0.24467506
11,0.24458256
12,0.24458256
13,0.24458256
14,0.24558464
15,0.24549492
16,0.24549492
17,0.24549492
18,0.24558464
19,0.24549492
20,0.24540493
21,0.24540493
22,0.24540493
23,0.24540493
24,0.24549492
25,0.24540493
26,0.24540493
27,0.24448979
28,0.24448979
29,0.24448979
30,0.24467506
31,0.24458256
32,0.24448979
33,0.25411007
34,0.25480318
35,0.2551365
36,0.25524566
37,0.2554076
38,0.25524566
39,0.2552999
40,0.2552999
41,0.2554076
42,0.2554076
43,0.2554076
44,0.2554076
45,0.25551435
46,0.2554611
47,0.25551435
48,0.2554611
49,0.2554611
50,0.2554611
51,0.25551435
52,0.25551435
53,0.25551435
54,0.25551435
55,0.2554611
56,0.25551435
57,0.25551435
58,0.25551435
59,0.25556737
60,0.25562015
61,0.25551435
62,0.256185
63,0.25613484
64,0.25613484
65,0.25608444
66,0.25608444
67,0.25608444
68,0.25613484
69,0.25608444
70,0.25613484
71,0.25562015
72,0.25562015
73,0.25562015
74,0.25556737
75,0.25562015
76,0.2556727
77,0.25562015
78,0.25562015
79,0.25562015
80,0.24439675
81,0.24430344
82,0.24430344
83,0.24439675
84,0.24430344
85,0.24439675
86,0.24430344
87,0.24430344
88,0.24430344
89,0.24439675
90,0.24420983
91,0.24439675
92,0.24430344
93,0.24430344
94,0.24430344
95,0.24448979
96,0.24448979
97,0.24467506
98,0.24448979
99,0.24458256
100,0.24448979
101,0.24448979
102,0.24567406
103,0.24558464
104,0.24540493
105,0.24540493
106,0.24540493
107,0.24549492
108,0.24540493
109,0.24531467
110,0.24540493
111,0.24448979
112,0.24448979
113,0.24448979
114,0.24448979
115,0.24448979
116,0.24458256
117,0.24448979
118,0.24448979
119,0.24448979
120,0.24448979
121,0.24448979
122,0.24448979
123,0.24458256
124,0.24448979
125,0.24439675
126,0.24448979
127,0.24448979
128,0.24458256
129,0.24458256
130,0.24458256
131,0.24467506
132,0.24458256
133,0.24458256
134,0.24458256
135,0.24458256
136,0.24558464
137,0.24549492
138,0.24558464
139,0.24549492
140,0.24549492
141,0.24549492
142,0.24549492
143,0.24549492
144,0.24540493
145,0.24540493
146,0.24540493
147,0.24540493
148,0.24540493
149,0.24540493
150,0.24540493
151,0.24540493
152,0.24458256
153,0.24448979
154,0.24458256
155,0.24448979
156,0.24458256
157,0.24448979
158,0.24448979
159,0.24448979
160,0.24439675
161,0.24448979
162,0.24458256
163,0.24448979
164,0.24458256
165,0.24448979
166,0.24448979
