,yhat
0,0.7973341
1,0.79733396
2,0.79733396
3,0.7973318
4,0.7973316
5,0.7973318
6,0.79733205
7,0.7973318
8,0.79733205
9,0.7973318
10,0.79733205
11,0.7973318
12,0.7973318
13,0.7973318
14,0.7973343
15,0.7973341
16,0.7973341
17,0.7973341
18,0.7973343
19,0.7973341
20,0.79733396
21,0.79733396
22,0.79733396
23,0.79733396
24,0.7973341
25,0.79733396
26,0.79733396
27,0.7973316
28,0.7973316
29,0.7973316
30,0.79733205
31,0.7973318
32,0.7973316
33,0.7973044
34,0.79729545
35,0.7972903
36,0.79728866
37,0.79728615
38,0.79728866
39,0.7972878
40,0.7972878
41,0.79728615
42,0.79728615
43,0.79728615
44,0.79728615
45,0.79728425
46,0.7972853
47,0.79728425
48,0.7972853
49,0.7972853
50,0.7972853
51,0.79728425
52,0.79728425
53,0.79728425
54,0.79728425
55,0.7972853
56,0.79728425
57,0.79728425
58,0.79728425
59,0.7972834
60,0.79728246
61,0.79728425
62,0.79727197
63,0.7972729
64,0.7972729
65,0.7972739
66,0.7972739
67,0.7972739
68,0.7972729
69,0.7972739
70,0.7972729
71,0.79728246
72,0.79728246
73,0.79728246
74,0.7972834
75,0.79728246
76,0.7972816
77,0.79728246
78,0.79728246
79,0.79728246
80,0.7973312
81,0.797331
82,0.797331
83,0.7973312
84,0.797331
85,0.7973312
86,0.797331
87,0.797331
88,0.797331
89,0.7973312
90,0.7973306
91,0.7973312
92,0.797331
93,0.797331
94,0.797331
95,0.7973316
96,0.7973316
97,0.79733205
98,0.7973316
99,0.7973318
100,0.7973316
101,0.7973316
102,0.79733455
103,0.7973343
104,0.79733396
105,0.79733396
106,0.79733396
107,0.7973341
108,0.79733396
109,0.7973337
110,0.79733396
111,0.7973316
112,0.7973316
113,0.7973316
114,0.7973316
115,0.7973316
116,0.7973318
117,0.7973316
118,0.7973316
119,0.7973316
120,0.7973316
121,0.7973316
122,0.7973316
123,0.7973318
124,0.7973316
125,0.7973312
126,0.7973316
127,0.7973316
128,0.7973318
129,0.7973318
130,0.7973318
131,0.79733205
132,0.7973318
133,0.7973318
134,0.7973318
135,0.7973318
136,0.7973343
137,0.7973341
138,0.7973343
139,0.7973341
140,0.7973341
141,0.7973341
142,0.7973341
143,0.7973341
144,0.79733396
145,0.79733396
146,0.79733396
147,0.79733396
148,0.79733396
149,0.79733396
150,0.79733396
151,0.79733396
152,0.7973318
153,0.7973316
154,0.7973318
155,0.7973316
156,0.7973318
157,0.7973316
158,0.7973316
159,0.7973316
160,0.7973312
161,0.7973316
162,0.7973318
163,0.7973316
164,0.7973318
165,0.7973316
166,0.7973316
167,0.7973316
168,0.7973316
169,0.7973316
170,0.7973318
171,0.7973316
172,0.7973318
173,0.7973316
174,0.79733205
175,0.7973316
176,0.7973318
177,0.7973316
178,0.7973316
179,0.7973318
180,0.7973316
181,0.7973316
182,0.7973318
183,0.7973316
184,0.7973316
185,0.7973341
186,0.79733396
187,0.7973341
188,0.79733396
189,0.7973341
190,0.79733396
191,0.7973341
192,0.79733396
193,0.79733396
194,0.7973316
195,0.7973312
196,0.7973316
197,0.7973316
198,0.7973316
199,0.7973318
200,0.7973318
201,0.7973316
202,0.7973316
203,0.7973316
204,0.7973316
205,0.7973316
206,0.7973316
207,0.7973316
208,0.7973316
209,0.7973318
210,0.7973316
211,0.7973316
212,0.7973316
213,0.7973316
214,0.7973316
215,0.7973316
216,0.7973316
217,0.7973318
218,0.79731464
219,0.79729843
220,0.7972921
221,0.797287
222,0.79728615
223,0.797287
224,0.797287
225,0.7972853
226,0.79727495
227,0.7972739
228,0.79727495
229,0.79727495
230,0.7972759
231,0.7972739
232,0.79727495
233,0.79727495
234,0.7972739
235,0.79728246
236,0.7972834
237,0.7972834
238,0.7972834
239,0.79728246
240,0.7972816
241,0.79728246
242,0.7972834
243,0.79728067
244,0.79728246
245,0.79728246
246,0.7972834
247,0.7972816
248,0.79728246
249,0.7972816
250,0.79728246
251,0.7972816
252,0.7972816
253,0.79728067
254,0.79727876
255,0.79727876
256,0.79727876
257,0.7972778
258,0.79727876
259,0.7972778
260,0.79727876
261,0.7972797
262,0.7972797
263,0.7972759
264,0.7973325
265,0.7973336
266,0.7973337
267,0.7973354
268,0.7973354
269,0.7973354
270,0.7973354
271,0.7973354
272,0.7973354
273,0.7973354
274,0.7973354
275,0.7973354
276,0.7973356
277,0.79733634
278,0.7973362
279,0.7973361
280,0.797336
281,0.79733574
282,0.7973362
283,0.79733396
284,0.7973316
285,0.7973318
286,0.7973316
287,0.7973316
288,0.7973316
289,0.7973316
290,0.7973316
291,0.7973316
292,0.7973316
293,0.7973318
294,0.7973316
295,0.7973316
296,0.7973316
297,0.7973316
298,0.7973316
299,0.7973316
300,0.7973312
301,0.7973316
302,0.7973318
303,0.7973316
304,0.7973318
305,0.7973316
306,0.7973318
307,0.7973316
308,0.7973318
309,0.7973318
310,0.7973316
311,0.79733205
312,0.7973021
313,0.7972903
314,0.7972759
315,0.7972739
316,0.79727495
317,0.7972759
318,0.79727495
319,0.7972739
320,0.7972739
321,0.7972739
322,0.7972729
323,0.79728246
324,0.79728246
325,0.7972816
326,0.79728246
327,0.79728246
328,0.7972816
329,0.7972816
330,0.7972816
331,0.7972816
332,0.79728067
333,0.7972816
334,0.7972816
335,0.7972816
336,0.7972816
337,0.79728067
338,0.79728067
339,0.79728067
340,0.7972797
341,0.79728067
342,0.79728067
343,0.79728067
344,0.7972797
345,0.79728067
346,0.79728067
347,0.7972797
348,0.7972797
349,0.79728067
350,0.7972797
351,0.79728067
352,0.79727876
353,0.79727876
354,0.79726684
355,0.7972679
356,0.7972679
357,0.79727006
358,0.79726887
359,0.79727006
360,0.7972679
361,0.79727006
362,0.7972679
363,0.7972797
364,0.79727876
365,0.79727876
366,0.79727876
367,0.7972797
368,0.7971802
369,0.7971755
370,0.7973312
371,0.797331
372,0.797331
373,0.797331
374,0.797331
375,0.797331
376,0.797331
377,0.797331
378,0.797331
379,0.797331
380,0.7973312
381,0.797331
382,0.7973312
383,0.79733205
384,0.7973318
385,0.7973316
386,0.797331
387,0.7973316
388,0.7973318
389,0.79733205
390,0.7973343
391,0.7973341
392,0.7973341
393,0.7973341
394,0.7973341
395,0.7973341
396,0.7973343
397,0.7973341
398,0.7973343
399,0.7973341
400,0.7973343
401,0.7973341
402,0.79733396
403,0.79733396
404,0.7973341
405,0.7973318
406,0.7973316
407,0.7973318
408,0.7973316
409,0.79733205
410,0.79733205
411,0.7973318
412,0.7973316
413,0.7973318
414,0.7973316
415,0.7973316
416,0.7973318
417,0.7973316
418,0.7973318
419,0.7973316
420,0.7973316
421,0.7973312
422,0.7973316
423,0.7973316
424,0.7973316
425,0.7973318
426,0.7973316
427,0.7973316
428,0.7973318
429,0.7973318
430,0.7973318
431,0.7973323
432,0.7973323
433,0.79733205
434,0.7973323
435,0.7973316
436,0.7973316
437,0.7973341
438,0.7973343
