,yhat
0,0.80182153
1,0.80182135
2,0.80182135
3,0.80182076
4,0.8018207
5,0.80182076
6,0.8018208
7,0.80182076
8,0.8018208
9,0.80182076
10,0.8018208
11,0.80182076
12,0.80182076
13,0.80182076
14,0.80182135
15,0.80182153
16,0.80182153
17,0.80182153
18,0.80182135
19,0.80182153
20,0.80182135
21,0.80182135
22,0.80182135
23,0.80182135
24,0.80182153
25,0.80182135
26,0.80182135
27,0.8018207
28,0.8018207
29,0.8018207
30,0.8018208
31,0.80182076
32,0.8018207
33,0.80182815
34,0.80182886
35,0.8018291
36,0.8018293
37,0.8018294
38,0.8018293
39,0.8018293
40,0.8018293
41,0.8018294
42,0.8018294
43,0.8018294
44,0.8018294
45,0.8018295
46,0.80182946
47,0.8018295
48,0.80182946
49,0.80182946
50,0.80182946
51,0.8018295
52,0.8018295
53,0.8018295
54,0.8018295
55,0.80182946
56,0.8018295
57,0.8018295
58,0.8018295
59,0.8018296
60,0.8018296
61,0.8018295
62,0.8018301
63,0.80183005
64,0.80183005
65,0.80183005
66,0.80183005
67,0.80183005
68,0.80183005
69,0.80183005
70,0.80183005
71,0.8018296
72,0.8018296
73,0.8018296
74,0.8018296
75,0.8018296
76,0.80182964
77,0.8018296
78,0.8018296
79,0.8018296
80,0.80182064
81,0.8018205
82,0.8018205
83,0.80182064
84,0.8018205
85,0.80182064
86,0.8018205
87,0.8018205
88,0.8018205
89,0.80182064
90,0.80182046
91,0.80182064
92,0.8018205
93,0.8018205
94,0.8018206
95,0.8018207
96,0.8018207
97,0.8018208
98,0.8018207
99,0.80182076
100,0.8018207
101,0.8018207
102,0.80182153
103,0.80182135
104,0.80182135
105,0.80182135
106,0.80182135
107,0.80182153
108,0.80182135
109,0.80182135
110,0.80182135
111,0.8018207
112,0.8018207
113,0.8018207
114,0.8018207
115,0.8018207
116,0.80182076
117,0.8018207
118,0.8018207
119,0.8018207
120,0.8018207
121,0.8018207
122,0.8018207
123,0.80182076
124,0.8018207
125,0.80182064
126,0.8018207
127,0.8018207
128,0.80182076
129,0.80182076
130,0.80182076
131,0.8018208
132,0.80182076
133,0.80182076
134,0.80182076
135,0.80182076
136,0.80182135
137,0.80182153
138,0.80182135
139,0.80182153
140,0.80182153
141,0.80182153
142,0.80182153
143,0.80182153
144,0.80182135
145,0.80182135
146,0.80182135
147,0.80182135
148,0.80182135
149,0.80182135
150,0.80182135
151,0.80182135
