,yhat
0,0.74981236
1,0.7498142
2,0.7498142
3,0.7498298
4,0.7498315
5,0.7498298
6,0.7498281
7,0.7498298
8,0.7498281
9,0.7498298
10,0.7498281
11,0.7498298
12,0.7498298
13,0.7498298
14,0.7498106
15,0.74981236
16,0.74981236
17,0.74981236
18,0.7498106
19,0.74981236
20,0.7498142
21,0.7498142
22,0.7498142
23,0.7498142
24,0.74981236
25,0.7498142
26,0.7498142
27,0.7498315
28,0.7498315
29,0.7498315
30,0.74982816
31,0.7498298
32,0.7498315
33,0.7495351
34,0.749498
35,0.7494788
36,0.7494723
37,0.7494625
38,0.7494723
39,0.74946904
40,0.74946904
41,0.7494625
42,0.7494625
43,0.7494625
44,0.7494625
45,0.7494559
46,0.74945927
47,0.7494559
48,0.74945927
49,0.74945927
50,0.74945927
51,0.7494559
52,0.7494559
53,0.7494559
54,0.7494559
55,0.74945927
56,0.7494559
57,0.7494559
58,0.7494559
59,0.7494526
60,0.74944925
61,0.7494559
62,0.74941176
63,0.7494152
64,0.7494152
65,0.7494187
66,0.7494187
67,0.7494187
68,0.7494152
69,0.7494187
70,0.7494152
71,0.74944925
72,0.74944925
73,0.74944925
74,0.7494526
75,0.74944925
76,0.7494459
77,0.74944925
78,0.74944925
79,0.74944925
80,0.74983317
81,0.74983484
82,0.74983484
83,0.74983317
84,0.74983484
85,0.74983317
86,0.74983484
87,0.74983484
88,0.74983484
89,0.74983317
90,0.74983656
91,0.74983317
92,0.74983484
93,0.74983484
94,0.74983484
95,0.74983144
96,0.7498315
97,0.7498281
98,0.7498315
99,0.7498298
100,0.7498315
101,0.7498315
102,0.74980885
103,0.7498106
104,0.7498142
105,0.7498142
106,0.7498142
107,0.74981236
108,0.7498142
109,0.74981594
110,0.7498142
111,0.7498315
112,0.7498315
113,0.7498315
114,0.7498315
115,0.7498315
116,0.7498298
117,0.7498315
118,0.7498315
119,0.7498315
120,0.7498315
121,0.7498315
122,0.7498315
123,0.7498298
124,0.7498315
125,0.74983317
126,0.74983144
127,0.74983144
128,0.7498298
129,0.7498298
130,0.7498298
131,0.7498281
132,0.7498298
133,0.7498298
134,0.7498298
135,0.7498298
136,0.7498106
137,0.74981236
138,0.7498106
139,0.74981236
140,0.74981236
141,0.74981236
142,0.74981236
143,0.74981236
144,0.7498142
145,0.7498142
146,0.7498142
147,0.7498142
148,0.7498142
149,0.7498142
150,0.7498142
151,0.7498142
152,0.7498298
153,0.7498315
154,0.7498298
155,0.7498315
156,0.7498298
157,0.7498315
158,0.74983144
159,0.74983144
160,0.74983317
161,0.7498315
162,0.7498298
163,0.7498315
164,0.7498298
165,0.7498315
166,0.7498315
167,0.7498315
168,0.7498315
169,0.7498315
170,0.7498298
171,0.7498315
172,0.7498298
173,0.7498315
174,0.7498281
175,0.7498315
176,0.7498298
177,0.7498315
178,0.7498315
179,0.7498298
180,0.7498315
181,0.7498315
182,0.7498298
183,0.7498315
184,0.7498315
185,0.74981236
186,0.7498142
187,0.74981236
188,0.7498142
189,0.74981236
190,0.7498142
191,0.7498124
192,0.7498142
193,0.7498142
194,0.7498315
195,0.74983317
196,0.7498315
197,0.7498315
198,0.7498315
199,0.7498298
200,0.7498298
201,0.7498315
202,0.7498315
203,0.7498315
204,0.7498315
205,0.7498315
206,0.7498315
207,0.7498315
208,0.7498315
209,0.7498298
210,0.7498315
211,0.7498315
212,0.7498315
213,0.7498315
214,0.7498315
215,0.7498315
216,0.7498315
217,0.7498298
218,0.74958205
219,0.7495105
220,0.74948525
221,0.7494658
222,0.7494625
223,0.7494658
224,0.7494658
225,0.74945927
226,0.7494222
227,0.7494187
228,0.7494222
229,0.7494222
230,0.7494256
231,0.7494187
232,0.7494222
233,0.7494222
234,0.7494187
235,0.74944925
236,0.7494526
237,0.7494526
238,0.7494526
239,0.74944925
240,0.7494459
241,0.74944925
242,0.7494526
243,0.7494425
244,0.74944925
245,0.74944925
246,0.7494526
247,0.7494459
248,0.74944925
249,0.7494459
250,0.74944925
251,0.7494459
252,0.7494459
253,0.7494425
254,0.7494358
255,0.7494358
256,0.7494358
257,0.7494324
258,0.7494358
259,0.7494324
260,0.7494358
261,0.74943924
262,0.74943924
263,0.7494256
264,0.74982464
265,0.7498177
266,0.74981594
267,0.74979776
268,0.74979776
269,0.7497996
270,0.7497996
271,0.7497996
272,0.7497996
273,0.7497996
274,0.7497996
275,0.74979776
276,0.74979407
277,0.74978054
278,0.74978447
279,0.74978644
280,0.74978834
281,0.7497921
282,0.74978447
283,0.7498142
284,0.7498315
285,0.7498298
286,0.74983144
287,0.74983144
288,0.7498315
289,0.7498315
290,0.7498315
291,0.7498315
292,0.7498315
293,0.7498298
294,0.7498315
295,0.7498315
296,0.7498315
297,0.7498315
298,0.7498315
299,0.7498315
300,0.74983317
301,0.7498315
302,0.7498298
303,0.7498315
304,0.7498298
305,0.7498315
306,0.7498298
307,0.7498315
308,0.7498298
309,0.7498298
310,0.7498315
311,0.7498281
312,0.749526
313,0.7494788
314,0.7494256
315,0.7494187
316,0.7494222
317,0.7494256
318,0.7494222
319,0.74941874
320,0.7494187
321,0.7494187
322,0.7494152
323,0.74944925
324,0.74944925
325,0.7494459
326,0.74944925
327,0.74944925
328,0.7494459
329,0.7494459
330,0.7494459
331,0.7494459
332,0.7494425
333,0.7494459
334,0.7494459
335,0.7494459
336,0.7494459
337,0.7494425
338,0.7494425
339,0.7494425
340,0.74943924
341,0.7494425
342,0.7494425
343,0.7494425
344,0.74943924
345,0.7494425
346,0.7494425
347,0.74943924
348,0.74943924
349,0.7494425
