,yhat
0,0.0040165316
1,0.004011848
2,0.004011848
3,0.0039725564
4,0.003971238
5,0.0039725564
6,0.003975213
7,0.0039725564
8,0.003975213
9,0.0039725564
10,0.003975213
11,0.0039725564
12,0.0039725564
13,0.0039725564
14,0.004021464
15,0.0040165316
16,0.0040165316
17,0.0040165316
18,0.004021464
19,0.0040165316
20,0.004011848
21,0.004011848
22,0.004011848
23,0.004011848
24,0.0040165316
25,0.004011848
26,0.004011848
27,0.003971238
28,0.003971238
29,0.003971238
30,0.003975213
31,0.003972556
32,0.003971238
33,0.003732508
34,0.039129574
35,0.10411078
36,0.12708308
37,0.14909862
38,0.12708308
39,0.1382845
40,0.1382845
41,0.14909862
42,0.14909862
43,0.14909862
44,0.14909862
45,0.15223652
46,0.1508597
47,0.15223652
48,0.1508597
49,0.1508597
50,0.1508597
51,0.15223652
52,0.15223652
53,0.15223652
54,0.15223652
55,0.1508597
56,0.15223652
57,0.15223652
58,0.15223652
59,0.15330836
60,0.15414023
61,0.15223652
62,0.15681945
63,0.15676871
64,0.15676871
65,0.15670367
66,0.15670367
67,0.15670367
68,0.15676871
69,0.15670367
70,0.15676871
71,0.15414023
72,0.15414023
73,0.15414023
74,0.15330836
75,0.15414023
76,0.15478447
77,0.15414023
78,0.15414023
79,0.15414023
80,0.003969821
81,0.0039683073
82,0.0039683073
83,0.003969821
84,0.0039683073
85,0.003969821
86,0.0039683073
87,0.0039683073
88,0.0039683073
89,0.003969821
90,0.003966695
91,0.003969821
92,0.0039683073
93,0.0039683073
94,0.0039683064
95,0.003971238
96,0.003971238
97,0.003975213
98,0.003971238
99,0.0039725564
100,0.003971238
101,0.003971238
102,0.00402642
103,0.004021464
104,0.004011848
105,0.004011848
106,0.004011848
107,0.0040165316
108,0.004011848
109,0.0040075574
110,0.004011848
111,0.003971238
112,0.003971238
113,0.003971238
114,0.003971238
115,0.003971238
116,0.0039725564
117,0.003971238
118,0.003971238
119,0.003971238
120,0.003971238
121,0.003971238
122,0.003971238
123,0.0039725564
124,0.003971238
125,0.003969821
126,0.003971238
127,0.003971238
128,0.0039725564
129,0.0039725564
130,0.0039725564
131,0.003975213
132,0.0039725564
133,0.0039725564
134,0.0039725564
135,0.0039725564
136,0.004021464
137,0.0040165316
138,0.004021464
139,0.0040165316
140,0.0040165316
141,0.0040165316
142,0.0040165316
143,0.0040165316
144,0.004011848
145,0.004011848
146,0.004011848
147,0.004011848
148,0.004011848
149,0.004011848
150,0.004011848
151,0.004011848
152,0.0039725564
153,0.003971238
154,0.0039725564
155,0.003971238
156,0.0039725564
157,0.003971238
158,0.003971238
159,0.003971238
160,0.003969821
161,0.003971238
162,0.0039725564
163,0.003971238
164,0.0039725564
165,0.003971238
166,0.003971238
167,0.003971238
168,0.003971238
169,0.003971238
170,0.0039725564
171,0.003971238
172,0.0039725564
173,0.003971238
174,0.003975213
175,0.003971238
176,0.0039725564
177,0.003971238
178,0.003971238
179,0.0039725564
180,0.003971238
181,0.003971238
182,0.0039725564
183,0.003971238
184,0.003971238
185,0.0040165316
186,0.004011848
187,0.0040165316
188,0.004011848
189,0.0040165316
190,0.004011846
191,0.0040165326
192,0.004011848
193,0.004011848
194,0.003971238
195,0.003969821
196,0.003971238
197,0.003971238
198,0.003971238
199,0.0039725564
200,0.0039725564
201,0.003971238
202,0.003971238
203,0.003971238
204,0.003971238
205,0.003971238
206,0.003971238
207,0.003971238
208,0.003971238
209,0.0039725564
210,0.003971238
211,0.003971238
212,0.003971238
213,0.003971238
214,0.003971238
215,0.003971238
216,0.003971238
217,0.0039725564
218,0.00439556
219,0.012966823
220,0.08091634
221,0.14685859
222,0.14909862
223,0.14685859
224,0.14685859
225,0.1508597
226,0.15662023
227,0.15670367
228,0.15662023
229,0.15662023
230,0.15651287
231,0.15670367
232,0.15662023
233,0.15662023
234,0.15670367
235,0.15414023
236,0.15330836
237,0.15330836
238,0.15330836
239,0.15414023
240,0.15478447
241,0.15414023
242,0.15330836
243,0.1552828
244,0.15414023
245,0.15414023
246,0.15330836
247,0.15478447
248,0.15414023
249,0.15478447
250,0.15414023
251,0.15478447
252,0.15478447
253,0.1552828
254,0.1559659
255,0.1559659
256,0.15596588
257,0.15619628
258,0.15596588
259,0.15619628
260,0.15596588
261,0.15566805
262,0.15566805
263,0.15651287
264,0.0039849123
265,0.004003266
266,0.0040075574
267,0.0040563676
268,0.0040563676
269,0.0040513873
270,0.0040513873
271,0.0040513873
272,0.0040513873
273,0.0040513873
274,0.0040513873
275,0.0040563676
276,0.0040662526
277,0.0041116336
278,0.0040982985
279,0.004091411
280,0.0040843873
281,0.0040711476
282,0.0040982985
283,0.004011848
284,0.003971238
285,0.0039725564
286,0.003971238
287,0.003971238
288,0.003971238
289,0.003971238
290,0.003971238
291,0.003971238
292,0.003971238
293,0.0039725564
294,0.003971238
295,0.003971238
296,0.003971238
297,0.003971238
298,0.003971238
299,0.003971238
300,0.003969821
301,0.003971238
302,0.0039725564
303,0.003971238
304,0.0039725564
305,0.003971238
306,0.0039725564
307,0.003971238
308,0.0039725564
309,0.0039725564
310,0.003971238
311,0.003975213
312,0.0034731808
313,0.10411078
314,0.15651287
315,0.15670367
316,0.15662023
317,0.15651287
318,0.15662023
319,0.15670367
320,0.15670367
321,0.15670367
322,0.15676871
323,0.15414023
324,0.15414023
325,0.15478447
326,0.15414023
327,0.15414023
328,0.15478447
329,0.15478447
330,0.15478447
331,0.15478447
332,0.1552828
333,0.15478447
334,0.15478447
335,0.15478447
336,0.15478447
337,0.1552828
338,0.1552828
339,0.1552828
340,0.15566805
341,0.1552828
342,0.1552828
343,0.1552828
344,0.15566805
345,0.1552828
346,0.1552828
347,0.15566805
348,0.15566805
349,0.1552828
350,0.15566804
351,0.1552828
352,0.15596588
353,0.15596588
354,0.15694395
355,0.15693076
356,0.15693076
357,0.15689027
358,0.15691458
359,0.15689027
360,0.15693076
361,0.15689027
362,0.15693076
363,0.15566805
364,0.15596588
365,0.15596588
366,0.15596588
367,0.15566805
368,0.15676391
369,0.15763374
370,0.003969821
371,0.0039683073
372,0.0039683073
373,0.0039683073
374,0.0039683073
375,0.0039683073
376,0.0039683073
377,0.0039683073
378,0.0039683073
379,0.0039683073
380,0.003969821
381,0.0039683073
382,0.003969821
383,0.003975213
384,0.0039725564
385,0.003971238
386,0.0039683073
387,0.003971238
388,0.0039725564
389,0.003975213
390,0.004021464
391,0.0040165316
392,0.0040165316
393,0.0040165316
394,0.0040165316
395,0.0040165316
396,0.004021464
397,0.0040165316
398,0.004021464
399,0.0040165316
400,0.004021464
401,0.0040165316
402,0.004011848
403,0.004011848
404,0.0040165316
405,0.0039725564
406,0.003971238
407,0.0039725564
408,0.003971238
409,0.003975213
410,0.003975213
411,0.0039725564
412,0.003971238
413,0.0039725564
414,0.003971238
415,0.003971238
416,0.0039725564
417,0.003971238
418,0.0039725564
419,0.003971238
420,0.003971238
421,0.003969821
422,0.003971238
423,0.003971238
424,0.003971238
425,0.0039725564
426,0.003971238
427,0.003971238
428,0.0039725564
429,0.0039725564
430,0.0039725564
431,0.0039800345
432,0.0039800345
433,0.003975213
434,0.0039800345
435,0.003971238
436,0.003971238
437,0.0040165316
438,0.004021464
439,0.0040363944
440,0.004021464
441,0.004021464
442,0.00402642
443,0.004011848
444,0.004021464
445,0.004011848
446,0.004011846
447,0.0042779744
448,0.15596588
449,0.15697542
450,0.15732196
451,0.15697087
452,0.15697087
453,0.14651537
454,0.14761396
455,0.12692702
456,0.13055666
457,0.12692702
458,0.12876762
459,0.15685916
460,0.15693076
461,0.15693076
462,0.15637463
463,0.15676871
464,0.15670367
465,0.1552828
466,0.15566805
467,0.15566805
468,0.15596588
469,0.15596588
470,0.15596588
471,0.15596588
472,0.15566805
473,0.15696046
474,0.0040165316
475,0.0040075574
476,0.004011848
477,0.0040075574
478,0.00400756
479,0.00400756
480,0.0040165316
481,0.004031401
482,0.004031401
483,0.00402642
484,0.004061326
485,0.004031401
486,0.00402642
487,0.0040363944
488,0.004021464
489,0.0040413938
490,0.0041304445
491,0.0041678892
492,0.0040662526
493,0.0040662526
494,0.0040165316
495,0.004011848
496,0.0040165316
497,0.004011848
498,0.004011848
499,0.004011848
500,0.004011848
501,0.004011848
502,0.0040165316
503,0.0039946646
504,0.0039946646
505,0.003989833
506,0.003989833
507,0.0039800345
508,0.004011848
509,0.0039989636
510,0.003971238
511,0.0039898343
512,0.004003266
513,0.0039946646
514,0.0039946646
515,0.0039800345
516,0.0039989636
517,0.003989833
518,0.0041363724
519,0.004124343
520,0.0041180723
521,0.0041304445
522,0.00439556
523,0.0041180723
524,0.004031401
525,0.0040165316
526,0.004021464
527,0.0040165316
528,0.0040982985
529,0.004011848
530,0.004011848
531,0.004011848
532,0.004011848
533,0.0039725564
534,0.003971238
535,0.003971238
536,0.003971238
537,0.0039725564
538,0.003971238
539,0.003971238
540,0.003971238
541,0.003971238
542,0.003971238
543,0.003971238
544,0.003971238
545,0.003971238
546,0.0039725564
547,0.003971238
548,0.003971238
549,0.003971238
550,0.003971238
551,0.0039725564
552,0.003971238
553,0.003971238
554,0.0039725564
555,0.003971238
556,0.003971238
557,0.003971238
558,0.003971238
559,0.003971238
560,0.003971238
561,0.003971238
562,0.003971238
563,0.00402642
564,0.0040165316
565,0.0040165316
566,0.0040165316
567,0.0040165316
568,0.004021464
569,0.0040363944
570,0.0040165316
571,0.0040165316
572,0.004011848
573,0.0040165316
574,0.0040165326
575,0.004011846
576,0.0039725564
577,0.003971238
578,0.0039725564
579,0.0039725564
580,0.0039725564
581,0.003971238
582,0.003971238
583,0.003971238
584,0.003971238
585,0.003971238
586,0.0039725564
587,0.003971238
588,0.004021464
589,0.0040165316
590,0.004011848
591,0.004011848
592,0.004011848
593,0.004021464
594,0.004011848
595,0.0040165316
596,0.004011848
597,0.003971238
598,0.003971238
599,0.0039725564
600,0.003971238
601,0.0039725564
602,0.003971238
603,0.004291405
604,0.023655768
605,0.12708308
606,0.14909862
607,0.15223652
608,0.1508597
609,0.15223652
610,0.1508597
611,0.15330836
612,0.1508597
613,0.15414023
614,0.15330836
615,0.15414023
616,0.15414023
617,0.15414023
618,0.15478447
619,0.15478447
620,0.15414023
621,0.15414023
622,0.15478447
623,0.15414023
624,0.15478447
625,0.15619628
626,0.15478447
627,0.15414023
628,0.15414023
629,0.15478447
630,0.15566805
631,0.1552828
632,0.15566805
633,0.15685916
634,0.15691458
635,0.15689027
636,0.15685916
637,0.15685916
638,0.15685916
639,0.15685916
640,0.15685916
641,0.15689027
642,0.15689027
643,0.15637463
644,0.15619628
645,0.15662023
646,0.15596588
647,0.1552828
648,0.15637463
649,0.15637463
650,0.15619628
