,yhat
0,0.056694716
1,0.055607468
2,0.055607468
3,0.0005191434
4,0.0008580666
5,0.0005191434
6,0.0011217222
7,0.0005191434
8,0.0011217222
9,0.0005191434
10,0.0011217222
11,0.0005191434
12,0.0005191434
13,0.0005191434
14,0.057308458
15,0.056694716
16,0.056694716
17,0.056694716
18,0.057308458
19,0.056694716
20,0.055607468
21,0.055607468
22,0.055607468
23,0.055607468
24,0.056694716
25,0.055607468
26,0.055607468
27,0.0008580666
28,0.0008580666
29,0.0008580666
30,0.0011217184
31,0.00051913783
32,0.0008580666
33,0.0026406916
34,0.0024810433
35,0.0024065096
36,0.002382324
37,0.00234662
38,0.002382324
39,0.0023703463
40,0.0023703463
41,0.00234662
42,0.00234662
43,0.00234662
44,0.00234662
45,0.0023231786
46,0.0023348667
47,0.0023231786
48,0.0023348667
49,0.0023348667
50,0.0023348667
51,0.0023231786
52,0.0023231786
53,0.0023231786
54,0.0023231786
55,0.0023348667
56,0.0023231786
57,0.0023231786
58,0.0023231786
59,0.0023115631
60,0.0022999346
61,0.0023231786
62,0.002175955
63,0.0021869373
64,0.002186941
65,0.0021979772
66,0.0021979772
67,0.0021979772
68,0.002186941
69,0.0021979772
70,0.002186941
71,0.0022999346
72,0.0022999346
73,0.0022999346
74,0.0023115631
75,0.0022999346
76,0.0022883583
77,0.0022999346
78,0.0022999346
79,0.0022999346
80,0.0012639016
81,0.0015303344
82,0.0015303344
83,0.0012639016
84,0.0015303344
85,0.0012639016
86,0.0015303344
87,0.0015303344
88,0.0015303344
89,0.0012639016
90,0.0016266555
91,0.0012639016
92,0.0015303344
93,0.0015303344
94,0.0015303269
95,0.0008580666
96,0.0008580666
97,0.0011217222
98,0.0008580666
99,0.0005191434
100,0.0008580666
101,0.0008580666
102,0.05742591
103,0.057308458
104,0.055607468
105,0.055607468
106,0.055607468
107,0.056694716
108,0.055607468
109,0.054090384
110,0.055607468
111,0.0008580666
112,0.0008580666
113,0.0008580666
114,0.0008580666
115,0.0008580666
116,0.0005191434
117,0.0008580666
118,0.0008580666
119,0.0008580666
120,0.0008580666
121,0.0008580666
122,0.0008580666
123,0.0005191434
124,0.0008580666
125,0.0012639016
126,0.0008580666
127,0.0008580666
128,0.0005191434
129,0.0005191434
130,0.0005191434
131,0.0011217222
132,0.0005191434
133,0.0005191434
134,0.0005191434
135,0.0005191434
136,0.057308458
137,0.056694716
138,0.057308458
139,0.056694716
140,0.056694716
141,0.056694716
142,0.056694716
143,0.056694716
144,0.055607468
145,0.055607468
146,0.055607468
147,0.055607468
148,0.055607468
149,0.055607468
150,0.055607468
151,0.055607468
152,0.0005191434
153,0.0008580666
154,0.0005191434
155,0.0008580666
156,0.0005191434
157,0.0008580666
158,0.0008580666
159,0.0008580666
160,0.0012639016
161,0.0008580666
162,0.0005191434
163,0.0008580666
164,0.0005191434
165,0.0008580666
166,0.0008580666
167,0.0008580666
168,0.0008580666
169,0.0008580666
170,0.0005191434
171,0.0008580666
172,0.0005191434
173,0.0008580666
174,0.0011217222
175,0.0008580666
176,0.0005191434
177,0.0008580666
178,0.0008580666
179,0.0005191434
180,0.0008580666
181,0.0008580666
182,0.0005191434
183,0.0008580666
184,0.0008580666
185,0.056694716
186,0.055607468
187,0.056694716
188,0.055607468
189,0.056694716
190,0.055607468
191,0.056694724
192,0.055607468
193,0.055607468
194,0.0008580666
195,0.0012639016
196,0.0008580666
197,0.0008580666
198,0.0008580666
199,0.0005191434
200,0.0005191434
201,0.0008580666
202,0.0008580666
203,0.0008580666
204,0.0008580666
205,0.0008580666
206,0.0008580666
207,0.0008580666
208,0.0008580666
209,0.0005191434
210,0.0008580666
211,0.0008580666
212,0.0008580666
213,0.0008580666
214,0.0008580666
215,0.0008580666
216,0.0008580666
217,0.0005191434
218,0.0028841542
219,0.0025325548
220,0.0024310118
221,0.0023584496
222,0.002346618
223,0.0023584496
224,0.0023584496
225,0.0023348667
226,0.002209071
227,0.0021979772
228,0.002209071
229,0.002209071
230,0.0022202227
231,0.0021979772
232,0.002209071
233,0.002209071
234,0.0021979772
235,0.0022999346
236,0.0023115631
237,0.0023115631
238,0.0023115631
239,0.0022999346
240,0.0022883583
241,0.0022999346
242,0.0023115631
243,0.0022768509
244,0.0022999346
245,0.0022999346
246,0.0023115631
247,0.0022883583
248,0.0022999346
249,0.0022883583
250,0.0022999346
251,0.0022883583
252,0.0022883583
253,0.0022768509
254,0.0022540204
255,0.0022540204
256,0.0022540223
257,0.0022426955
258,0.0022540223
259,0.0022426955
260,0.0022540223
261,0.002265403
262,0.002265403
263,0.0022202227
264,0.0076327957
265,0.052206952
266,0.054090384
267,0.048511703
268,0.048511703
269,0.050977126
270,0.050977126
271,0.050977126
272,0.050977126
273,0.050977126
274,0.050977126
275,0.048511703
276,0.044754
