,yhat
0,0.03464541
1,0.03464528
2,0.03464528
3,0.03464412
4,0.03464399
5,0.03464412
6,0.03464425
7,0.03464412
8,0.03464425
9,0.03464412
10,0.03464425
11,0.03464412
12,0.03464412
13,0.03464412
14,0.03464554
15,0.03464541
16,0.03464541
17,0.03464541
18,0.03464554
19,0.03464541
20,0.03464528
21,0.03464528
22,0.03464528
23,0.03464528
24,0.03464541
25,0.03464528
26,0.03464528
27,0.03464399
28,0.03464399
29,0.03464399
30,0.03464425
31,0.03464412
32,0.03464399
33,0.034658648
34,0.034659836
35,0.034660418
36,0.03466061
37,0.0346609
38,0.03466061
39,0.034660704
40,0.034660704
41,0.0346609
42,0.0346609
43,0.0346609
44,0.0346609
45,0.03466109
46,0.03466099
47,0.03466109
48,0.03466099
49,0.03466099
50,0.03466099
51,0.03466109
52,0.03466109
53,0.03466109
54,0.03466109
55,0.03466099
56,0.03466109
57,0.03466109
58,0.03466109
59,0.03466118
60,0.034661274
61,0.03466109
62,0.0346623
63,0.034662206
64,0.034662206
65,0.034662113
66,0.034662113
67,0.034662113
68,0.034662206
69,0.034662113
70,0.034662206
71,0.034661274
72,0.034661274
73,0.034661274
74,0.03466118
75,0.034661274
76,0.03466137
77,0.034661274
78,0.034661274
79,0.034661274
80,0.03464386
81,0.034643725
82,0.034643725
83,0.03464386
84,0.034643725
85,0.03464386
86,0.034643725
87,0.034643725
88,0.034643725
89,0.03464386
90,0.034643594
91,0.03464386
92,0.034643725
93,0.034643725
94,0.034643725
95,0.03464399
96,0.03464399
97,0.03464425
98,0.03464399
99,0.03464412
100,0.03464399
101,0.03464399
102,0.034645665
103,0.03464554
104,0.03464528
105,0.03464528
106,0.03464528
107,0.03464541
108,0.03464528
109,0.03464515
110,0.03464528
111,0.03464399
112,0.03464399
113,0.03464399
114,0.03464399
115,0.03464399
116,0.03464412
117,0.03464399
118,0.03464399
119,0.03464399
120,0.03464399
121,0.03464399
122,0.03464399
123,0.03464412
124,0.03464399
125,0.03464386
126,0.03464399
127,0.03464399
128,0.03464412
129,0.03464412
130,0.03464412
131,0.03464425
132,0.03464412
133,0.03464412
134,0.03464412
135,0.03464412
136,0.03464554
137,0.03464541
138,0.03464554
139,0.03464541
140,0.03464541
141,0.03464541
142,0.03464541
143,0.03464541
144,0.03464528
145,0.03464528
146,0.03464528
147,0.03464528
148,0.03464528
149,0.03464528
150,0.03464528
151,0.03464528
152,0.03464412
153,0.03464399
154,0.03464412
155,0.03464399
